school,midcareer_pay,annual_cost,median_debt,total_cost,roi_debt_adjusted,earn_premium,break_even_years,sector
Church Divinity School of the Pacific,,,,,,,,Private_nonprofit
Citrus College,42065.0,1204.0,5500.0,1204.0,29.369601328903656,3645.0,1.8392318244170096,Public
Citrus Heights Beauty College,,,5495.0,,,,,Private_forprofit
City College of San Francisco,45805.0,1696.0,7497.0,1696.0,21.587264150943398,7385.0,1.2448205822613405,Public
Claremont Graduate University,64372.0,,,,,25952.0,,Private_nonprofit
Claremont McKenna College,104736.0,64150.0,11948.0,64150.0,0.44642244738893216,66316.0,1.1475058809337113,Private_nonprofit
Milan Institute-Visalia,32493.0,,7000.0,,,-5927.0,,Private_forprofit
Clovis Adult Education,50098.0,,,,,11678.0,,Public
Coastline Community College,44483.0,1180.0,7683.0,1180.0,30.1864406779661,6063.0,1.4618175820550883,Public
University of Silicon Valley,51017.0,22480.0,18334.0,22480.0,0.45387010676156586,12597.0,3.2399777724855126,Private_forprofit
Coba Academy,21208.0,,6333.0,,,-17212.0,,Private_forprofit
Western University of Health Sciences,,,,,,,,Private_nonprofit
Columbia College,39035.0,1547.0,,1547.0,,615.0,,Public
California College of ASU,42014.0,26175.0,13167.0,26175.0,0.1020821394460363,3594.0,10.946577629382304,Private_nonprofit
Compton College,34181.0,1142.0,6463.0,1142.0,23.271453590192646,-4239.0,,Public
Contra Costa College,40850.0,1312.0,4750.0,1312.0,26.515243902439025,2430.0,2.494650205761317,Public
Cosumnes River College,42446.0,1288.0,8563.0,1288.0,25.30667701863354,4026.0,2.446845504222553,Public
Crafton Hills College,42553.0,1188.0,,1188.0,,4133.0,,Public
Cuesta College,46047.0,1340.0,9500.0,1340.0,26.273880597014927,7627.0,1.4212665530352695,Public
Cuyamaca College,32435.0,1340.0,5136.0,1340.0,19.372388059701493,-5985.0,,Public
Cypress College,43533.0,1150.0,7500.0,1150.0,30.33304347826087,5113.0,1.6917660864463133,Public
De Anza College,56596.0,1562.0,6495.0,1562.0,31.074903969270167,18176.0,0.4432768485915493,Public
International School of Beauty Inc,19799.0,,6359.0,,,-18621.0,,Private_forprofit
